l,mu,nu,Real,Imag,Magnitud
18,1,19,0.03516209858133573,-0.007213208062849542,0.03589433865112338
18,1,20,-0.06756427879385137,0.002267815020420021,0.06760232802130497
18,1,21,-0.009573530948698401,0.02095796727711567,0.023041026175375467
18,1,22,-0.02548747354195898,-0.005006060439137333,0.025974447995527356
18,1,23,0.0004746685102930228,-0.015467200238803139,0.01547448200819322
18,1,24,0.03770207781343095,-0.0013837485105315645,0.03772746256230865
18,1,25,-0.03516258342243987,-0.009654315859080349,0.03646386002121736
18,1,26,0.0005140965545293335,0.013620686095835641,0.013630384623651282
18,1,27,-0.008160382001062262,0.005795993248838216,0.01000926431581458
18,1,28,-0.02828013332861134,0.02140410666192055,0.035466910255601704
18,1,29,-0.013798048161129397,0.004552454541598943,0.014529658475345219
18,1,30,0.013798048161129723,0.00455245454159863,0.01452965847534543
